Team,OVR_Rating,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Defense_Rating,Left Side,Middle of the pitch,Right Side,Own Third,Middle Third,Opposition Third,League,Season
Saint-Etienne,6.81,11.4,21.2,18.7,14.5,1.9,6.81,0.38,0.22,0.4,0.27,0.44,0.28,Ligue1,2011
Lyon,6.77,11.9,17.1,16.5,15.7,2.7,6.77,0.4,0.26,0.33,0.27,0.46,0.27,Ligue1,2011
Brest,6.77,14.1,20.3,15.8,17.2,1.9,6.77,0.34,0.25,0.41,0.31,0.44,0.25,Ligue1,2011
Nancy,6.76,13.1,20.0,20.1,16.2,2.1,6.76,0.37,0.29,0.34,0.29,0.47,0.25,Ligue1,2011
Lorient,6.75,10.9,18.1,16.9,12.3,3.0,6.75,0.34,0.27,0.39,0.26,0.45,0.29,Ligue1,2011
Nice,6.75,12.5,17.0,18.5,16.1,2.5,6.75,0.36,0.28,0.36,0.28,0.45,0.27,Ligue1,2011
Auxerre,6.73,12.0,17.8,20.7,16.3,2.5,6.73,0.35,0.29,0.36,0.28,0.46,0.26,Ligue1,2011
Thonon Evian Grand Geneve,6.7,14.6,19.2,19.7,16.1,2.2,6.7,0.37,0.27,0.37,0.31,0.43,0.26,Ligue1,2011
Sochaux,6.69,13.8,16.4,15.3,14.0,1.9,6.69,0.37,0.25,0.38,0.29,0.43,0.27,Ligue1,2011
Caen,6.69,14.6,24.0,19.1,17.9,2.3,6.69,0.35,0.28,0.37,0.28,0.44,0.27,Ligue1,2011
Valenciennes,6.67,11.8,20.9,15.0,16.9,2.3,6.67,0.35,0.24,0.41,0.26,0.44,0.3,Ligue1,2011
Dijon,6.66,14.8,20.6,16.8,15.3,2.4,6.66,0.33,0.3,0.37,0.29,0.42,0.28,Ligue1,2011
AC Ajaccio,6.64,16.9,20.0,15.9,16.0,3.1,6.64,0.33,0.28,0.39,0.32,0.44,0.24,Ligue1,2011
Paris Saint-Germain,7.07,12.6,19.4,18.2,12.3,3.7,7.07,0.35,0.3,0.35,0.26,0.47,0.27,Ligue1,2012
Saint-Etienne,6.92,10.1,19.4,19.5,13.3,2.8,6.92,0.39,0.24,0.37,0.27,0.47,0.26,Ligue1,2012
Marseille,6.89,9.3,19.1,14.8,13.4,2.8,6.89,0.42,0.2,0.38,0.25,0.45,0.3,Ligue1,2012
Lyon,6.88,10.4,19.0,17.6,15.1,2.9,6.88,0.33,0.28,0.39,0.25,0.48,0.27,Ligue1,2012
Lorient,6.86,11.3,17.9,21.6,11.3,3.3,6.86,0.4,0.24,0.36,0.24,0.48,0.28,Ligue1,2012
Montpellier,6.86,10.8,17.7,22.0,15.8,2.7,6.86,0.38,0.25,0.37,0.25,0.48,0.27,Ligue1,2012
Toulouse,6.85,11.2,20.9,17.3,17.0,2.6,6.85,0.37,0.24,0.38,0.25,0.45,0.3,Ligue1,2012
Bordeaux,6.85,10.2,18.9,16.8,12.9,2.3,6.85,0.38,0.28,0.34,0.26,0.47,0.27,Ligue1,2012
Sochaux,6.83,13.6,17.9,21.6,13.4,2.1,6.83,0.36,0.26,0.38,0.29,0.47,0.25,Ligue1,2012
Nancy,6.82,13.1,20.6,18.6,14.8,2.9,6.82,0.37,0.27,0.36,0.28,0.46,0.26,Ligue1,2012
Lille,6.82,9.1,16.0,19.6,14.0,3.2,6.82,0.31,0.27,0.41,0.25,0.48,0.27,Ligue1,2012
Rennes,6.79,10.8,18.6,17.2,12.8,2.7,6.79,0.31,0.33,0.37,0.26,0.45,0.3,Ligue1,2012
Nice,6.76,10.8,19.0,11.7,14.8,2.6,6.76,0.35,0.29,0.36,0.26,0.49,0.24,Ligue1,2012
Valenciennes,6.76,13.7,17.8,17.5,14.7,2.7,6.76,0.34,0.26,0.4,0.27,0.45,0.28,Ligue1,2012
Troyes,6.73,14.6,21.5,15.3,13.2,3.3,6.73,0.35,0.27,0.38,0.3,0.44,0.26,Ligue1,2012
Reims,6.72,15.1,19.0,16.5,13.9,3.4,6.72,0.36,0.21,0.43,0.3,0.43,0.27,Ligue1,2012
AC Ajaccio,6.7,12.9,17.9,15.2,15.0,3.6,6.7,0.34,0.26,0.39,0.3,0.45,0.25,Ligue1,2012
Thonon Evian Grand Geneve,6.69,11.8,17.9,13.2,14.3,1.6,6.69,0.36,0.26,0.38,0.27,0.46,0.27,Ligue1,2012
Brest,6.68,13.2,19.5,18.6,15.6,2.2,6.68,0.36,0.26,0.38,0.29,0.46,0.24,Ligue1,2012
SC Bastia,6.67,13.0,16.9,19.1,13.6,2.0,6.67,0.39,0.25,0.36,0.28,0.46,0.25,Ligue1,2012
Paris Saint-Germain,7.1,9.7,18.5,14.6,11.9,3.4,7.1,0.37,0.3,0.33,0.26,0.47,0.26,Ligue1,2013
Monaco,7.01,9.8,19.7,15.9,14.1,2.1,7.01,0.32,0.29,0.39,0.25,0.46,0.29,Ligue1,2013
Lille,6.96,9.0,18.6,15.6,14.1,2.9,6.96,0.35,0.25,0.4,0.26,0.46,0.28,Ligue1,2013
Saint-Etienne,6.95,10.2,19.1,12.4,14.4,2.1,6.95,0.4,0.24,0.36,0.26,0.46,0.27,Ligue1,2013
Marseille,6.91,10.2,19.0,12.8,13.9,2.2,6.91,0.44,0.23,0.33,0.27,0.43,0.29,Ligue1,2013
Bordeaux,6.9,10.4,20.8,14.8,13.2,2.4,6.9,0.36,0.29,0.35,0.27,0.46,0.28,Ligue1,2013
Lyon,6.87,10.0,18.5,11.6,14.6,1.9,6.87,0.35,0.28,0.37,0.25,0.47,0.28,Ligue1,2013
Toulouse,6.84,12.2,21.9,17.9,13.6,2.5,6.84,0.33,0.24,0.43,0.27,0.44,0.28,Ligue1,2013
Reims,6.84,14.8,19.1,17.7,13.9,1.6,6.84,0.34,0.22,0.45,0.29,0.44,0.26,Ligue1,2013
Nantes,6.81,11.3,21.7,16.1,14.1,2.2,6.81,0.37,0.24,0.38,0.28,0.45,0.27,Ligue1,2013
Montpellier,6.81,11.9,19.8,16.1,12.7,2.5,6.81,0.37,0.24,0.39,0.26,0.47,0.27,Ligue1,2013
Rennes,6.81,14.9,19.0,14.7,11.6,1.7,6.81,0.34,0.26,0.4,0.31,0.46,0.24,Ligue1,2013
Lorient,6.75,11.7,18.5,15.8,11.7,2.2,6.75,0.38,0.25,0.37,0.26,0.46,0.28,Ligue1,2013
Thonon Evian Grand Geneve,6.75,12.1,19.6,17.6,14.0,2.1,6.75,0.38,0.24,0.38,0.27,0.46,0.27,Ligue1,2013
Guingamp,6.74,12.7,18.6,17.5,14.6,2.9,6.74,0.36,0.28,0.36,0.29,0.44,0.27,Ligue1,2013
Nice,6.73,12.7,19.4,15.6,13.3,1.9,6.73,0.37,0.25,0.38,0.29,0.48,0.24,Ligue1,2013
Sochaux,6.7,13.3,18.0,16.0,15.0,2.4,6.7,0.37,0.21,0.42,0.27,0.44,0.29,Ligue1,2013
Valenciennes,6.68,11.7,19.2,14.6,14.3,1.9,6.68,0.38,0.24,0.39,0.27,0.45,0.27,Ligue1,2013
SC Bastia,6.67,11.9,17.2,14.2,13.5,2.2,6.67,0.35,0.27,0.39,0.26,0.48,0.26,Ligue1,2013
AC Ajaccio,6.62,15.3,18.7,14.0,15.7,2.4,6.62,0.36,0.27,0.37,0.3,0.45,0.26,Ligue1,2013
Paris Saint-Germain,7.09,10.0,20.6,16.5,11.5,3.2,7.09,0.37,0.29,0.34,0.26,0.49,0.26,Ligue1,2014
Marseille,7.03,11.3,19.9,15.6,14.0,3.3,7.03,0.39,0.26,0.35,0.29,0.44,0.28,Ligue1,2014
Lyon,6.98,10.7,19.2,11.7,15.2,2.1,6.98,0.34,0.28,0.38,0.25,0.48,0.27,Ligue1,2014
Monaco,6.97,9.8,20.1,19.9,13.3,2.1,6.97,0.36,0.26,0.37,0.25,0.45,0.29,Ligue1,2014
Saint-Etienne,6.9,10.1,19.0,13.3,14.7,2.3,6.9,0.37,0.24,0.4,0.26,0.46,0.28,Ligue1,2014
Montpellier,6.9,11.7,21.9,20.9,13.7,2.1,6.9,0.35,0.27,0.38,0.26,0.48,0.27,Ligue1,2014
Caen,6.87,13.6,22.9,19.0,11.8,2.3,6.87,0.42,0.24,0.35,0.27,0.45,0.27,Ligue1,2014
Lille,6.83,10.0,17.6,17.2,12.2,1.5,6.83,0.36,0.26,0.38,0.26,0.46,0.28,Ligue1,2014
Lorient,6.81,11.8,16.4,15.8,12.0,2.1,6.81,0.39,0.23,0.38,0.26,0.47,0.27,Ligue1,2014
Bordeaux,6.8,10.3,19.2,13.6,13.2,2.1,6.8,0.35,0.3,0.35,0.27,0.46,0.27,Ligue1,2014
Nantes,6.79,10.3,20.8,18.0,15.0,2.2,6.79,0.39,0.24,0.37,0.26,0.46,0.27,Ligue1,2014
Nice,6.79,11.5,22.6,23.6,14.4,2.2,6.79,0.37,0.26,0.37,0.29,0.47,0.25,Ligue1,2014
Rennes,6.75,11.7,18.5,17.2,12.8,2.3,6.75,0.36,0.26,0.38,0.3,0.46,0.24,Ligue1,2014
Toulouse,6.74,11.8,19.6,20.6,15.3,2.2,6.74,0.39,0.24,0.37,0.27,0.44,0.29,Ligue1,2014
SC Bastia,6.74,12.4,19.9,15.3,14.8,2.6,6.74,0.37,0.24,0.39,0.29,0.45,0.25,Ligue1,2014
Guingamp,6.71,12.6,20.6,18.5,12.5,2.3,6.71,0.31,0.28,0.41,0.29,0.44,0.26,Ligue1,2014
Reims,6.71,12.9,18.4,16.0,14.3,1.9,6.71,0.35,0.23,0.42,0.29,0.45,0.26,Ligue1,2014
Metz,6.7,12.2,22.3,16.4,15.8,2.3,6.7,0.34,0.27,0.39,0.28,0.45,0.28,Ligue1,2014
Lens,6.67,12.6,21.4,14.8,14.5,1.7,6.67,0.43,0.24,0.33,0.27,0.46,0.26,Ligue1,2014
Thonon Evian Grand Geneve,6.67,11.6,20.1,19.2,14.0,2.0,6.67,0.38,0.23,0.4,0.27,0.47,0.27,Ligue1,2014
Paris Saint-Germain,7.27,9.6,20.3,18.7,10.4,3.8,7.27,0.35,0.32,0.33,0.25,0.51,0.24,Ligue1,2015
Lyon,6.96,9.4,21.4,16.0,13.4,2.4,6.96,0.34,0.27,0.39,0.22,0.49,0.29,Ligue1,2015
Lille,6.9,10.2,19.8,19.1,15.1,1.9,6.9,0.38,0.25,0.37,0.26,0.46,0.29,Ligue1,2015
Nice,6.9,11.2,20.3,18.1,11.9,1.8,6.9,0.32,0.29,0.39,0.26,0.51,0.22,Ligue1,2015
Monaco,6.85,12.5,18.7,18.4,14.3,2.3,6.85,0.38,0.24,0.38,0.25,0.47,0.28,Ligue1,2015
Bordeaux,6.85,10.7,22.4,19.8,12.9,2.5,6.85,0.37,0.27,0.36,0.25,0.49,0.26,Ligue1,2015
Marseille,6.84,11.0,19.7,19.1,13.5,2.4,6.84,0.37,0.24,0.39,0.26,0.48,0.27,Ligue1,2015
Montpellier,6.84,11.0,18.3,20.8,12.6,1.9,6.84,0.4,0.24,0.36,0.25,0.49,0.28,Ligue1,2015
Rennes,6.8,12.3,20.6,18.3,12.2,2.4,6.8,0.39,0.25,0.35,0.28,0.46,0.25,Ligue1,2015
Caen,6.78,12.4,21.8,17.5,12.2,2.3,6.78,0.39,0.25,0.36,0.26,0.46,0.28,Ligue1,2015
Guingamp,6.77,12.6,19.7,18.3,13.4,2.1,6.77,0.35,0.26,0.39,0.28,0.45,0.27,Ligue1,2015
Toulouse,6.76,10.9,23.6,19.4,14.1,2.3,6.76,0.42,0.24,0.34,0.26,0.47,0.28,Ligue1,2015
Nantes,6.76,10.5,21.4,16.2,15.9,2.3,6.76,0.33,0.24,0.43,0.26,0.46,0.27,Ligue1,2015
Saint-Etienne,6.75,11.5,20.4,16.7,15.6,2.3,6.75,0.36,0.24,0.4,0.27,0.45,0.28,Ligue1,2015
Lorient,6.75,13.4,16.4,22.0,12.1,1.9,6.75,0.41,0.22,0.36,0.27,0.49,0.24,Ligue1,2015
Angers,6.74,11.1,19.3,15.9,13.7,1.1,6.74,0.39,0.27,0.35,0.28,0.49,0.23,Ligue1,2015
SC Bastia,6.72,11.3,18.8,17.4,14.0,2.0,6.72,0.39,0.25,0.35,0.29,0.48,0.23,Ligue1,2015
Reims,6.71,11.8,18.1,21.1,13.6,1.7,6.71,0.36,0.21,0.43,0.25,0.48,0.27,Ligue1,2015
GFC Ajaccio,6.67,10.8,19.7,21.6,15.3,1.9,6.67,0.36,0.26,0.38,0.26,0.46,0.27,Ligue1,2015
Troyes,6.58,16.5,20.7,19.6,11.5,1.5,6.58,0.33,0.23,0.44,0.31,0.43,0.26,Ligue1,2015
Monaco,7.14,9.7,18.5,13.6,12.3,2.2,7.14,0.36,0.24,0.4,0.23,0.46,0.29,Ligue1,2016
Paris Saint-Germain,7.09,9.1,17.2,13.1,10.7,3.3,7.09,0.37,0.28,0.35,0.24,0.49,0.28,Ligue1,2016
Lyon,6.96,11.2,19.8,12.6,13.5,2.7,6.96,0.37,0.27,0.36,0.24,0.48,0.28,Ligue1,2016
Marseille,6.91,11.9,19.2,14.6,13.3,2.7,6.91,0.35,0.22,0.43,0.27,0.48,0.26,Ligue1,2016
Nice,6.9,13.2,16.7,11.3,11.3,1.9,6.9,0.35,0.31,0.34,0.3,0.49,0.2,Ligue1,2016
Bordeaux,6.81,12.0,20.1,13.3,11.6,2.5,6.81,0.39,0.2,0.41,0.26,0.48,0.26,Ligue1,2016
Saint-Etienne,6.8,12.8,18.6,15.6,12.7,2.4,6.8,0.37,0.25,0.38,0.27,0.47,0.26,Ligue1,2016
Montpellier,6.77,11.3,16.7,15.1,10.5,1.7,6.77,0.36,0.25,0.39,0.24,0.49,0.27,Ligue1,2016
Rennes,6.77,10.6,19.6,14.6,12.2,2.0,6.77,0.46,0.19,0.35,0.24,0.48,0.28,Ligue1,2016
Guingamp,6.77,12.8,17.1,14.4,13.1,2.6,6.77,0.39,0.23,0.39,0.28,0.46,0.27,Ligue1,2016
Dijon,6.77,14.6,21.1,16.0,13.0,2.0,6.77,0.39,0.23,0.38,0.29,0.47,0.25,Ligue1,2016
Lille,6.75,11.5,17.3,14.3,14.1,1.5,6.75,0.35,0.27,0.37,0.26,0.48,0.26,Ligue1,2016
Toulouse,6.73,12.7,19.6,13.7,15.0,1.2,6.73,0.37,0.25,0.38,0.26,0.47,0.27,Ligue1,2016
Caen,6.71,12.4,19.8,17.4,11.5,1.4,6.71,0.41,0.24,0.35,0.26,0.47,0.26,Ligue1,2016
Angers,6.71,10.7,18.0,14.2,11.5,1.4,6.71,0.37,0.27,0.37,0.25,0.48,0.26,Ligue1,2016
Nantes,6.68,11.0,22.1,13.2,14.2,2.8,6.68,0.38,0.23,0.4,0.25,0.47,0.28,Ligue1,2016
Nancy,6.66,12.8,20.3,16.6,13.1,3.2,6.66,0.35,0.26,0.4,0.27,0.47,0.26,Ligue1,2016
Metz,6.66,15.6,18.5,17.3,13.5,2.3,6.66,0.35,0.22,0.43,0.3,0.46,0.25,Ligue1,2016
Lorient,6.63,12.0,15.7,14.3,11.7,1.8,6.63,0.39,0.25,0.37,0.25,0.48,0.27,Ligue1,2016
SC Bastia,6.62,12.9,16.8,15.3,12.1,1.2,6.62,0.37,0.26,0.38,0.29,0.47,0.24,Ligue1,2016
Paris Saint-Germain,7.16,10.8,16.9,8.8,11.2,2.4,7.16,0.38,0.26,0.35,0.23,0.47,0.29,Ligue1,2017
Lyon,7.04,11.4,16.9,11.9,12.5,2.1,7.04,0.39,0.23,0.38,0.25,0.48,0.26,Ligue1,2017
Marseille,6.99,10.8,19.5,11.6,13.1,2.1,6.99,0.32,0.22,0.46,0.25,0.47,0.29,Ligue1,2017
Monaco,6.94,12.1,18.9,13.1,13.4,1.9,6.94,0.35,0.24,0.41,0.24,0.48,0.28,Ligue1,2017
Montpellier,6.78,10.1,17.9,13.2,11.8,2.2,6.78,0.39,0.2,0.41,0.25,0.49,0.27,Ligue1,2017
Bordeaux,6.77,11.0,18.4,12.2,14.0,2.0,6.77,0.35,0.23,0.42,0.25,0.48,0.27,Ligue1,2017
Nice,6.77,12.8,15.5,11.4,11.7,1.7,6.77,0.36,0.3,0.35,0.29,0.48,0.23,Ligue1,2017
Rennes,6.75,11.3,17.3,10.9,12.6,2.3,6.75,0.39,0.19,0.42,0.25,0.47,0.28,Ligue1,2017
Saint-Etienne,6.74,13.9,17.8,10.6,13.4,2.4,6.74,0.4,0.21,0.39,0.29,0.46,0.25,Ligue1,2017
Nantes,6.72,12.5,19.9,11.2,12.9,2.2,6.72,0.4,0.22,0.38,0.27,0.45,0.28,Ligue1,2017
Guingamp,6.72,12.9,16.8,12.5,13.1,2.6,6.72,0.41,0.21,0.38,0.26,0.46,0.28,Ligue1,2017
Amiens,6.71,15.8,17.3,13.7,13.3,1.8,6.71,0.39,0.24,0.37,0.3,0.47,0.23,Ligue1,2017
Dijon,6.71,13.8,18.0,14.3,12.9,1.9,6.71,0.36,0.25,0.39,0.29,0.46,0.25,Ligue1,2017
Toulouse,6.68,12.4,18.4,12.6,15.5,2.0,6.68,0.39,0.24,0.37,0.27,0.45,0.28,Ligue1,2017
Lille,6.66,13.4,17.9,12.8,12.7,2.3,6.66,0.36,0.24,0.41,0.28,0.46,0.26,Ligue1,2017
Strasbourg,6.65,12.2,19.7,13.5,13.8,2.0,6.65,0.35,0.23,0.41,0.28,0.46,0.25,Ligue1,2017
Caen,6.65,11.5,19.2,12.6,13.8,2.0,6.65,0.4,0.24,0.36,0.26,0.47,0.27,Ligue1,2017
Angers,6.62,11.0,17.4,10.8,12.9,1.6,6.62,0.38,0.23,0.39,0.26,0.48,0.26,Ligue1,2017
Troyes,6.59,14.3,17.2,11.5,13.0,1.7,6.59,0.4,0.2,0.4,0.29,0.46,0.24,Ligue1,2017
Metz,6.59,14.3,18.6,13.4,14.0,1.5,6.59,0.38,0.22,0.4,0.27,0.46,0.26,Ligue1,2017
Paris Saint-Germain,7.05,10.5,18.4,9.0,12.5,2.4,7.05,0.38,0.29,0.33,0.22,0.47,0.31,Ligue1,2018
Lyon,6.91,12.6,16.8,9.6,11.7,2.5,6.91,0.38,0.26,0.37,0.24,0.47,0.28,Ligue1,2018
Lille,6.84,9.9,16.5,10.2,12.6,1.0,6.84,0.33,0.25,0.42,0.25,0.48,0.27,Ligue1,2018
Montpellier,6.81,11.9,20.0,12.8,14.1,1.5,6.81,0.37,0.23,0.4,0.26,0.47,0.27,Ligue1,2018
Saint-Etienne,6.78,12.4,17.7,11.6,11.9,1.6,6.78,0.38,0.22,0.4,0.28,0.46,0.26,Ligue1,2018
Marseille,6.78,10.5,20.5,10.6,13.2,1.2,6.78,0.36,0.2,0.44,0.25,0.47,0.28,Ligue1,2018
Nice,6.76,13.1,17.4,11.8,11.2,1.1,6.76,0.36,0.28,0.36,0.3,0.46,0.23,Ligue1,2018
Nimes,6.75,12.8,19.3,11.7,12.8,1.1,6.75,0.37,0.21,0.42,0.26,0.45,0.28,Ligue1,2018
Strasbourg,6.73,13.1,17.1,11.3,13.5,1.1,6.73,0.36,0.22,0.42,0.27,0.47,0.26,Ligue1,2018
Rennes,6.73,12.6,17.2,10.2,12.9,1.6,6.73,0.39,0.2,0.41,0.27,0.47,0.27,Ligue1,2018
Reims,6.72,11.8,20.0,12.8,14.0,2.1,6.72,0.42,0.21,0.37,0.3,0.46,0.25,Ligue1,2018
Nantes,6.71,10.7,20.2,11.4,13.0,2.0,6.71,0.38,0.25,0.37,0.26,0.46,0.28,Ligue1,2018
Angers,6.7,12.1,17.7,11.1,11.8,1.3,6.7,0.39,0.25,0.36,0.27,0.49,0.25,Ligue1,2018
Bordeaux,6.67,13.1,18.9,10.3,14.3,1.6,6.67,0.35,0.27,0.38,0.29,0.48,0.25,Ligue1,2018
Toulouse,6.62,15.0,17.6,10.1,14.7,1.8,6.62,0.39,0.26,0.35,0.28,0.45,0.26,Ligue1,2018
Monaco,6.61,11.3,18.1,10.2,13.9,1.4,6.61,0.36,0.23,0.4,0.26,0.46,0.28,Ligue1,2018
Caen,6.59,14.3,18.7,12.9,14.7,1.3,6.59,0.39,0.22,0.39,0.28,0.48,0.23,Ligue1,2018
Dijon,6.59,14.3,17.7,12.7,15.1,1.6,6.59,0.4,0.25,0.35,0.27,0.46,0.28,Ligue1,2018
Amiens,6.57,13.2,16.6,10.3,13.7,1.7,6.57,0.42,0.23,0.35,0.27,0.47,0.26,Ligue1,2018
Guingamp,6.55,12.3,18.0,11.0,12.8,1.4,6.55,0.43,0.21,0.37,0.25,0.47,0.28,Ligue1,2018
Paris Saint-Germain,7.11,9.9,17.9,9.4,12.3,2.1,7.11,0.41,0.29,0.3,0.22,0.48,0.31,Ligue1,2019
Lyon,6.84,11.1,17.6,11.1,12.2,0.9,6.84,0.38,0.23,0.38,0.26,0.47,0.26,Ligue1,2019
Marseille,6.82,9.9,20.1,11.2,13.4,0.8,6.82,0.34,0.2,0.45,0.24,0.47,0.28,Ligue1,2019
Rennes,6.8,12.8,17.9,9.7,13.8,1.4,6.8,0.38,0.22,0.4,0.28,0.47,0.24,Ligue1,2019
Monaco,6.74,13.1,18.0,10.0,12.0,1.6,6.74,0.37,0.25,0.38,0.25,0.47,0.29,Ligue1,2019
Montpellier,6.74,13.3,16.0,11.0,15.0,1.5,6.74,0.37,0.23,0.41,0.27,0.46,0.28,Ligue1,2019
Nice,6.74,14.0,16.8,12.1,10.5,0.8,6.74,0.36,0.25,0.39,0.3,0.45,0.25,Ligue1,2019
Reims,6.74,10.1,17.5,11.8,13.7,1.6,6.74,0.46,0.2,0.34,0.29,0.45,0.26,Ligue1,2019
Strasbourg,6.72,10.2,17.5,11.1,13.6,1.2,6.72,0.36,0.23,0.41,0.26,0.47,0.27,Ligue1,2019
Nantes,6.72,10.8,19.5,10.9,13.4,1.6,6.72,0.4,0.24,0.36,0.25,0.48,0.27,Ligue1,2019
Metz,6.72,13.9,18.8,11.1,12.0,1.1,6.72,0.4,0.25,0.35,0.28,0.48,0.24,Ligue1,2019
Bordeaux,6.72,12.9,17.3,10.8,13.5,1.4,6.72,0.34,0.28,0.38,0.28,0.5,0.22,Ligue1,2019
Lille,6.72,9.9,15.1,9.9,13.8,2.1,6.72,0.35,0.24,0.4,0.22,0.48,0.3,Ligue1,2019
Dijon,6.69,14.2,18.5,11.9,12.5,1.1,6.69,0.39,0.26,0.35,0.29,0.46,0.25,Ligue1,2019
Brest,6.68,14.8,17.3,12.6,11.8,1.3,6.68,0.39,0.2,0.41,0.29,0.46,0.25,Ligue1,2019
Angers,6.65,9.6,15.7,9.6,12.0,1.0,6.65,0.39,0.23,0.38,0.25,0.49,0.27,Ligue1,2019
Nimes,6.64,12.6,19.7,11.8,12.9,1.4,6.64,0.38,0.21,0.41,0.26,0.46,0.28,Ligue1,2019
Saint-Etienne,6.6,11.6,18.3,13.4,13.3,1.5,6.6,0.35,0.22,0.43,0.26,0.49,0.26,Ligue1,2019
Toulouse,6.51,14.8,19.6,11.4,14.1,1.1,6.51,0.38,0.24,0.37,0.28,0.46,0.26,Ligue1,2019
Amiens,6.5,14.6,15.2,10.8,14.4,1.3,6.5,0.41,0.23,0.36,0.26,0.49,0.25,Ligue1,2019
Paris Saint-Germain,6.88,10.0,16.0,9.8,12.2,1.7,6.88,0.41,0.29,0.3,0.23,0.46,0.32,Ligue1,2020
Lille,6.82,8.9,17.2,11.2,12.8,1.7,6.82,0.38,0.28,0.35,0.24,0.47,0.3,Ligue1,2020
Lyon,6.8,11.6,15.4,10.9,12.7,1.7,6.8,0.36,0.27,0.37,0.24,0.44,0.32,Ligue1,2020
Monaco,6.73,8.6,19.3,11.5,12.8,1.8,6.73,0.36,0.26,0.39,0.23,0.47,0.29,Ligue1,2020
Rennes,6.69,9.7,15.4,9.5,13.2,0.9,6.69,0.37,0.25,0.38,0.23,0.47,0.29,Ligue1,2020
Metz,6.66,12.6,18.0,15.0,13.6,1.3,6.66,0.33,0.25,0.43,0.29,0.47,0.25,Ligue1,2020
Lens,6.64,10.8,15.8,13.4,14.2,1.3,6.64,0.38,0.26,0.37,0.26,0.46,0.28,Ligue1,2020
Brest,6.64,12.8,16.0,12.3,12.9,1.6,6.64,0.39,0.23,0.39,0.3,0.44,0.26,Ligue1,2020
Marseille,6.63,11.7,17.2,11.6,13.2,1.4,6.63,0.35,0.24,0.41,0.28,0.47,0.25,Ligue1,2020
Montpellier,6.63,14.7,13.9,11.1,13.5,1.3,6.63,0.36,0.22,0.42,0.29,0.45,0.27,Ligue1,2020
Nice,6.63,13.3,15.8,11.4,12.1,1.1,6.63,0.39,0.25,0.36,0.29,0.45,0.25,Ligue1,2020
Nantes,6.62,12.1,18.3,12.2,13.5,1.4,6.62,0.38,0.26,0.36,0.25,0.46,0.28,Ligue1,2020
Strasbourg,6.61,10.1,16.7,13.7,13.1,1.0,6.61,0.38,0.24,0.38,0.27,0.47,0.26,Ligue1,2020
Reims,6.6,13.5,17.3,12.8,11.6,1.6,6.6,0.42,0.22,0.36,0.31,0.44,0.25,Ligue1,2020
Saint-Etienne,6.59,10.8,18.8,12.4,13.9,1.3,6.59,0.4,0.21,0.39,0.28,0.45,0.26,Ligue1,2020
Bordeaux,6.59,12.4,14.9,13.2,12.2,1.3,6.59,0.36,0.23,0.41,0.28,0.46,0.25,Ligue1,2020
Lorient,6.54,12.2,19.0,13.9,12.5,1.2,6.54,0.36,0.25,0.38,0.28,0.48,0.25,Ligue1,2020
Angers,6.53,10.4,16.5,11.7,12.1,1.0,6.53,0.37,0.23,0.41,0.25,0.48,0.26,Ligue1,2020
Nimes,6.52,13.7,16.4,13.2,11.1,1.3,6.52,0.39,0.21,0.4,0.29,0.46,0.25,Ligue1,2020
Dijon,6.42,14.1,15.8,12.4,13.6,1.4,6.42,0.39,0.24,0.37,0.3,0.46,0.23,Ligue1,2020
Paris Saint-Germain,6.89,11.1,16.0,8.0,9.4,2.5,6.89,0.39,0.29,0.32,0.24,0.45,0.31,Ligue1,2021
Rennes,6.77,9.3,14.2,8.3,11.4,1.6,6.77,0.37,0.25,0.38,0.26,0.45,0.3,Ligue1,2021
Lyon,6.76,11.9,16.9,10.8,11.4,1.7,6.76,0.36,0.28,0.36,0.25,0.47,0.28,Ligue1,2021
Strasbourg,6.74,10.7,17.3,11.8,12.7,1.5,6.74,0.38,0.25,0.37,0.25,0.46,0.29,Ligue1,2021
Marseille,6.71,8.5,14.8,8.5,9.3,1.5,6.71,0.33,0.26,0.42,0.24,0.46,0.3,Ligue1,2021
Nice,6.7,11.9,15.8,11.7,11.8,1.4,6.7,0.36,0.26,0.38,0.27,0.46,0.26,Ligue1,2021
Monaco,6.68,10.5,19.5,11.1,13.3,2.4,6.68,0.37,0.26,0.37,0.23,0.46,0.31,Ligue1,2021
Lens,6.66,10.8,15.2,12.0,11.5,1.5,6.66,0.35,0.27,0.38,0.25,0.48,0.28,Ligue1,2021
Nantes,6.64,11.7,18.6,10.8,13.5,1.5,6.64,0.4,0.24,0.36,0.26,0.46,0.29,Ligue1,2021
Brest,6.64,12.5,17.9,12.2,11.4,1.2,6.64,0.4,0.2,0.4,0.27,0.47,0.28,Ligue1,2021
Lille,6.63,11.8,17.7,9.8,11.6,2.4,6.63,0.37,0.23,0.39,0.27,0.45,0.28,Ligue1,2021
Montpellier,6.6,15.5,15.5,9.3,10.8,1.3,6.6,0.4,0.2,0.4,0.31,0.44,0.25,Ligue1,2021
Reims,6.6,12.9,16.3,12.9,11.9,2.2,6.6,0.41,0.22,0.37,0.31,0.44,0.25,Ligue1,2021
Lorient,6.54,12.5,18.4,11.1,12.1,1.5,6.54,0.4,0.24,0.36,0.29,0.46,0.25,Ligue1,2021
Angers,6.53,11.4,16.8,11.1,11.8,1.3,6.53,0.38,0.23,0.39,0.29,0.46,0.25,Ligue1,2021
