Team,OVR_Rating,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Defense_Rating,Left Side,Middle of the pitch,Right Side,Own Third,Middle Third,Opposition Third,League,Season
Wolfsburg,7.14,12.2,17.6,20.8,13.4,2.6,7.14,0.35,0.25,0.4,0.26,0.48,0.25,Bundesliga,2014
Bayer Leverkusen,7.12,8.8,21.3,21.1,17.9,3.0,7.12,0.33,0.29,0.38,0.22,0.44,0.32,Bundesliga,2014
Borussia M.Gladbach,7.08,15.4,18.1,16.9,12.2,1.8,7.08,0.37,0.24,0.38,0.29,0.48,0.23,Bundesliga,2014
Hoffenheim,6.95,13.4,24.6,19.1,17.7,2.4,6.95,0.33,0.29,0.38,0.26,0.45,0.29,Bundesliga,2014
Schalke 04,6.92,15.7,18.6,17.2,15.2,2.6,6.92,0.34,0.27,0.39,0.27,0.47,0.25,Bundesliga,2014
Borussia Dortmund,6.92,8.6,21.7,16.9,13.3,3.5,6.92,0.34,0.31,0.35,0.21,0.48,0.32,Bundesliga,2014
Augsburg,6.9,13.5,20.0,17.0,16.3,2.9,6.9,0.4,0.26,0.35,0.29,0.45,0.27,Bundesliga,2014
Eintracht Frankfurt,6.88,12.7,22.1,20.0,16.7,2.8,6.88,0.28,0.27,0.44,0.28,0.46,0.26,Bundesliga,2014
Mainz 05,6.87,14.2,16.9,17.7,14.6,2.9,6.87,0.36,0.28,0.36,0.28,0.46,0.26,Bundesliga,2014
Werder Bremen,6.83,14.8,20.1,21.0,17.3,2.1,6.83,0.4,0.25,0.34,0.29,0.45,0.27,Bundesliga,2014
FC Koln,6.83,13.8,19.1,13.1,12.4,2.3,6.83,0.33,0.3,0.37,0.28,0.48,0.23,Bundesliga,2014
Hamburger SV,6.8,14.6,22.2,18.5,18.2,2.0,6.8,0.4,0.26,0.33,0.29,0.47,0.25,Bundesliga,2014
Freiburg,6.79,15.4,17.5,15.6,14.5,2.3,6.79,0.38,0.24,0.39,0.3,0.43,0.27,Bundesliga,2014
Paderborn,6.79,14.5,20.6,20.2,14.2,2.1,6.79,0.33,0.26,0.41,0.3,0.45,0.25,Bundesliga,2014
Hannover 96,6.78,13.6,17.3,15.6,16.7,2.4,6.78,0.33,0.27,0.4,0.28,0.46,0.26,Bundesliga,2014
VfB Stuttgart,6.77,13.8,20.7,17.5,14.5,1.9,6.77,0.37,0.27,0.36,0.25,0.47,0.27,Bundesliga,2014
Hertha Berlin,6.75,12.6,21.9,18.1,17.3,2.6,6.75,0.39,0.25,0.36,0.28,0.48,0.25,Bundesliga,2014
Bayern Munich,7.14,7.5,14.3,13.5,11.7,3.1,7.14,0.35,0.31,0.34,0.21,0.46,0.33,Bundesliga,2015
Borussia Dortmund,7.06,8.0,16.6,17.4,11.5,3.3,7.06,0.36,0.31,0.33,0.21,0.5,0.29,Bundesliga,2015
Bayer Leverkusen,6.95,10.6,20.2,22.4,15.4,3.3,6.95,0.36,0.27,0.37,0.24,0.46,0.3,Bundesliga,2015
Borussia M.Gladbach,6.94,13.4,18.4,19.2,13.5,2.5,6.94,0.38,0.25,0.37,0.26,0.49,0.24,Bundesliga,2015
Schalke 04,6.9,14.4,17.9,19.1,14.9,2.3,6.9,0.33,0.27,0.39,0.27,0.49,0.24,Bundesliga,2015
Wolfsburg,6.85,11.4,16.9,17.9,13.5,2.0,6.85,0.32,0.26,0.42,0.27,0.47,0.26,Bundesliga,2015
Mainz 05,6.84,13.9,19.5,20.1,15.6,2.7,6.84,0.36,0.26,0.38,0.28,0.46,0.25,Bundesliga,2015
Werder Bremen,6.83,13.0,19.6,25.3,15.3,2.2,6.83,0.33,0.28,0.39,0.28,0.46,0.27,Bundesliga,2015
